anon_id,anon_ip,active_rank,active_priority_score,passive_collection_order,gateway_port,country,org,mdns_instance_names,mdns_product_markers,passive_product_confidence,passive_family,passive_family_confidence,passive_top_version,passive_top_version_exact,scanner_input_target,active_probe_target,active_probed_base,active_product_confidence,active_reachable_status_count,active_has_signal,active_status_distribution_signature,active_status_counts,active_fingerprint_match_count,active_fingerprint_rules,active_matched_version_count,active_matched_versions,active_has_exact_version_match,active_vulnerability_count,active_proxy_detected,active_honeypot_probable,active_observation_count,active_error_count,active_first_error
gw-0112,192.0.2.112,91,105,112,18789,GB,provider-0061,gw-0112-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.112:18789,http://192.0.2.112:18789,http://192.0.2.112:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.112:18789 /: [Errno 61] Connection refused
gw-0113,192.0.2.113,92,105,113,18789,GB,provider-0061,gw-0113-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.113:18789,http://192.0.2.113:18789,http://192.0.2.113:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.113:18789 /: [Errno 61] Connection refused
gw-0114,192.0.2.114,93,105,114,18789,CA,provider-0062,gw-0114-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.114:18789,http://192.0.2.114:18789,http://192.0.2.114:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.114:18789 /: [Errno 61] Connection refused
gw-0115,192.0.2.115,94,105,115,18789,US,provider-0063,gw-0115-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.115:18789,http://192.0.2.115:18789,http://192.0.2.115:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.115:18789 /: [Errno 61] Connection refused
gw-0116,192.0.2.116,95,105,116,18789,KR,provider-0063,gw-0116-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.116:18789,http://192.0.2.116:18789,http://192.0.2.116:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.116:18789 /: timed out
gw-0117,192.0.2.117,96,105,117,18789,US,provider-0016,gw-0117-instance-1,claw gateway;openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.117:18789,http://192.0.2.117:18789,http://192.0.2.117:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.117:18789 /: [Errno 61] Connection refused
gw-0118,192.0.2.118,97,105,118,18789,SG,provider-0064,gw-0118-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.118:18789,http://192.0.2.118:18789,http://192.0.2.118:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.118:18789 /: [Errno 61] Connection refused
gw-0120,192.0.2.120,98,105,120,18789,CN,provider-0002,gw-0120-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.120:18789,http://192.0.2.120:18789,http://192.0.2.120:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.120:18789 /: [Errno 61] Connection refused
gw-0121,192.0.2.121,99,105,121,18789,CN,provider-0002,gw-0121-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.121:18789,http://192.0.2.121:18789,http://192.0.2.121:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.121:18789 /: [Errno 61] Connection refused
gw-0122,192.0.2.122,100,105,122,18789,US,provider-0016,gw-0122-instance-1,openclaw;openclaw-gw,0.55,openclaw_mdns_gateway_advertisement,0.94,,False,192.0.2.122:18789,http://192.0.2.122:18789,http://192.0.2.122:18789,0.0,0,False,,,0,,0,,False,0,False,False,39,39,http://192.0.2.122:18789 /: [Errno 61] Connection refused
